SUPPLIER_NAME,BUSINESS_PARTNER_ID,MATERIAL_GROUP,DATA_VERSION
Juniper Industrial Partners 016,BP-001371,RC1202,synthetic-2026-04-01
Granite Digital Partners 017,BP-000004,RC1401,synthetic-2026-04-01
Harbor Materials Partners 016,BP-001178,RC1401,synthetic-2026-04-01
Delta Advisory Partners 001,BP-000820,RC1401,synthetic-2026-04-01
Beacon Advisory Partners 002,BP-000029,RC1401,synthetic-2026-04-01
Atlas Advisory Partners 002,BP-000186,RC1401,synthetic-2026-04-01
Beacon Materials Partners 002,BP-002096,RC1401,synthetic-2026-04-01
Lumen Systems Partners 011,BP-000001,RC1401,synthetic-2026-04-01
Delta Energy Partners 015,BP-001175,RC1401,synthetic-2026-04-01
Forge Industrial Partners 005,BP-001787,RC1401,synthetic-2026-04-01
Beacon Materials Partners 002,BP-002096,RC1401,synthetic-2026-04-01
Keystone Advisory Partners 003,BP-000528,RC1401,synthetic-2026-04-01
Delta Systems Partners 003,BP-000574,RC1401,synthetic-2026-04-01
Lumen Fabrication Partners 013,BP-000192,RC1401,synthetic-2026-04-01
Beacon Industrial Partners 012,BP-002102,RC1401,synthetic-2026-04-01
Delta Fabrication Partners 004,BP-000419,RC1401,synthetic-2026-04-01
Juniper Systems Partners 002,BP-001588,RC1202,synthetic-2026-04-01
Delta Systems Partners 007,BP-001330,RC1202,synthetic-2026-04-01
Granite Network Partners 011,BP-001379,RC1202,synthetic-2026-04-01
Atlas Energy Partners 013,BP-000447,RC1202,synthetic-2026-04-01
Juniper Industrial Partners 002,BP-001532,RC1202,synthetic-2026-04-01
Forge Facilities Partners 001,BP-001246,RC1202,synthetic-2026-04-01
Delta Logistics Partners 004,BP-002016,RC1202,synthetic-2026-04-01
Ion Energy Partners 001,BP-001256,RC1202,synthetic-2026-04-01
Atlas Industrial Partners 013,BP-001818,RC1202,synthetic-2026-04-01
Crest Materials Partners 010,BP-000518,RC1202,synthetic-2026-04-01
Lumen Network Partners 012,BP-001566,RC1202,synthetic-2026-04-01
Crest Advisory Partners 007,BP-000214,RC1202,synthetic-2026-04-01
Crest Industrial Partners 002,BP-001041,RC1202,synthetic-2026-04-01
Lumen Industrial Partners 012,BP-002078,RC1202,synthetic-2026-04-01
Lumen Systems Partners 011,BP-000001,RC1202,synthetic-2026-04-01
Lumen Systems Partners 011,BP-000001,RC1202,synthetic-2026-04-01
Lumen Systems Partners 011,BP-000001,RC1202,synthetic-2026-04-01
Atlas Advisory Partners 015,BP-001420,RC1202,synthetic-2026-04-01
Atlas Energy Partners 009,BP-000006,RC1202,synthetic-2026-04-01
Delta Network Partners 006,BP-001245,RC1205,synthetic-2026-04-01
Keystone Energy Partners 003,BP-000019,RC1205,synthetic-2026-04-01
Element Advisory Partners 014,BP-000260,RC1202,synthetic-2026-04-01
Atlas Digital Partners 014,BP-000519,RC1202,synthetic-2026-04-01
Delta Logistics Partners 006,BP-001149,RC1202,synthetic-2026-04-01
Forge Facilities Partners 009,BP-001836,RC1202,synthetic-2026-04-01
Element Facilities Partners 006,BP-000733,RC1202,synthetic-2026-04-01
Beacon Facilities Partners 016,BP-001023,RC1202,synthetic-2026-04-01
Harbor Fabrication Partners 005,BP-001232,RC1202,synthetic-2026-04-01
Atlas Advisory Partners 015,BP-001420,RC1202,synthetic-2026-04-01
Delta Systems Partners 013,BP-001917,RC1202,synthetic-2026-04-01
Lumen Energy Partners 009,BP-000800,RC1202,synthetic-2026-04-01
Keystone Network Partners 010,BP-001368,RC1202,synthetic-2026-04-01
Atlas Advisory Partners 015,BP-001420,RC1205,synthetic-2026-04-01
Delta Industrial Partners 010,BP-000506,RC1202,synthetic-2026-04-01
Keystone Network Partners 012,BP-001740,RC1202,synthetic-2026-04-01
Beacon Facilities Partners 015,BP-000507,RC1202,synthetic-2026-04-01
Juniper Facilities Partners 017,BP-002093,RC1205,synthetic-2026-04-01
Crest Advisory Partners 010,BP-000857,RC1202,synthetic-2026-04-01
Crest Logistics Partners 011,BP-000135,RC1202,synthetic-2026-04-01
Atlas Fabrication Partners 006,BP-001244,RC1202,synthetic-2026-04-01
Beacon Network Partners 017,BP-001663,RC1202,synthetic-2026-04-01
Crest Network Partners 015,BP-000576,RC1202,synthetic-2026-04-01
Lumen Materials Partners 003,BP-001282,RC1202,synthetic-2026-04-01
Delta Energy Partners 009,BP-001456,RC1202,synthetic-2026-04-01
Element Industrial Partners 006,BP-001465,RC1202,synthetic-2026-04-01
Ion Logistics Partners 013,BP-002058,RC1202,synthetic-2026-04-01
Granite Logistics Partners 013,BP-001347,RC1202,synthetic-2026-04-01
Harbor Industrial Partners 004,BP-002056,RC1202,synthetic-2026-04-01
Granite Network Partners 011,BP-001379,RC1202,synthetic-2026-04-01
Crest Systems Partners 012,BP-001841,RC1202,synthetic-2026-04-01
Beacon Industrial Partners 012,BP-002102,RC1202,synthetic-2026-04-01
Element Digital Partners 008,BP-002029,RC1202,synthetic-2026-04-01
Juniper Materials Partners 002,BP-000017,RC1202,synthetic-2026-04-01
Ion Logistics Partners 013,BP-002058,RC1202,synthetic-2026-04-01
Beacon Industrial Partners 012,BP-002102,RC1205,synthetic-2026-04-01
Lumen Industrial Partners 015,BP-001516,RC1205,synthetic-2026-04-01
Lumen Systems Partners 001,BP-001248,RC1205,synthetic-2026-04-01
Element Systems Partners 004,BP-001297,RC1205,synthetic-2026-04-01
Juniper Network Partners 009,BP-000495,RC1205,synthetic-2026-04-01
Harbor Network Partners 012,BP-000854,RC1202,synthetic-2026-04-01
Delta Advisory Partners 008,BP-000976,RC1202,synthetic-2026-04-01
Beacon Digital Partners 011,BP-001485,RC1202,synthetic-2026-04-01
Atlas Advisory Partners 010,BP-000424,RC1202,synthetic-2026-04-01
Delta Advisory Partners 017,BP-001118,RC1202,synthetic-2026-04-01
Lumen Energy Partners 012,BP-001386,RC1202,synthetic-2026-04-01
Juniper Energy Partners 016,BP-000414,RC1202,synthetic-2026-04-01
Delta Industrial Partners 010,BP-000506,RC1202,synthetic-2026-04-01
Crest Facilities Partners 002,BP-001704,RC1212,synthetic-2026-04-01
Granite Digital Partners 008,BP-001668,RC1212,synthetic-2026-04-01
Juniper Digital Partners 001,BP-001585,RC1212,synthetic-2026-04-01
Granite Energy Partners 005,BP-002053,RC1212,synthetic-2026-04-01
Delta Network Partners 013,BP-000981,RC1212,synthetic-2026-04-01
Ion Energy Partners 005,BP-002052,RC1212,synthetic-2026-04-01
Beacon Materials Partners 016,BP-001311,RC1212,synthetic-2026-04-01
Beacon Digital Partners 011,BP-001485,RC1212,synthetic-2026-04-01
Granite Facilities Partners 002,BP-000633,RC1212,synthetic-2026-04-01
Forge Industrial Partners 003,BP-001271,RC1212,synthetic-2026-04-01
Element Facilities Partners 001,BP-000148,RC1212,synthetic-2026-04-01
Delta Materials Partners 016,BP-001772,RC1212,synthetic-2026-04-01
Granite Network Partners 011,BP-001379,RC1212,synthetic-2026-04-01
Ion Advisory Partners 016,BP-001647,RC1212,synthetic-2026-04-01
Delta Fabrication Partners 015,BP-001308,RC1212,synthetic-2026-04-01
Element Advisory Partners 006,BP-002042,RC1212,synthetic-2026-04-01
Juniper Digital Partners 005,BP-001654,RC1212,synthetic-2026-04-01
Beacon Network Partners 012,BP-001316,RC1212,synthetic-2026-04-01
Atlas Energy Partners 004,BP-001635,RC1212,synthetic-2026-04-01
Harbor Systems Partners 009,BP-000012,RC1212,synthetic-2026-04-01
Delta Network Partners 012,BP-001393,RC1212,synthetic-2026-04-01
Forge Advisory Partners 007,BP-001324,RC1212,synthetic-2026-04-01
Forge Systems Partners 017,BP-001641,RC1212,synthetic-2026-04-01
Keystone Digital Partners 012,BP-001267,RC1212,synthetic-2026-04-01
Juniper Facilities Partners 015,BP-001226,RC1212,synthetic-2026-04-01
Delta Systems Partners 013,BP-001917,RC1212,synthetic-2026-04-01
Beacon Systems Partners 008,BP-001342,RC1212,synthetic-2026-04-01
Beacon Fabrication Partners 010,BP-001366,RC1212,synthetic-2026-04-01
Harbor Digital Partners 011,BP-000198,RC1212,synthetic-2026-04-01
Lumen Industrial Partners 009,BP-001555,RC1212,synthetic-2026-04-01
Ion Advisory Partners 011,BP-001460,RC1212,synthetic-2026-04-01
Atlas Logistics Partners 003,BP-001949,RC1212,synthetic-2026-04-01
Keystone Digital Partners 010,BP-002045,RC1212,synthetic-2026-04-01
Ion Fabrication Partners 002,BP-001333,RC1212,synthetic-2026-04-01
Forge Materials Partners 001,BP-000859,RC1212,synthetic-2026-04-01
Atlas Advisory Partners 015,BP-001420,RC1212,synthetic-2026-04-01
Keystone Facilities Partners 014,BP-000551,RC1212,synthetic-2026-04-01
Crest Energy Partners 008,BP-001337,RC1212,synthetic-2026-04-01
Juniper Advisory Partners 010,BP-001849,RC1212,synthetic-2026-04-01
Juniper Energy Partners 005,BP-001506,RC1212,synthetic-2026-04-01
Atlas Facilities Partners 001,BP-002098,RC1212,synthetic-2026-04-01
Harbor Facilities Partners 002,BP-001263,RC1212,synthetic-2026-04-01
Harbor Logistics Partners 009,BP-001352,RC1212,synthetic-2026-04-01
Lumen Systems Partners 011,BP-000001,RC1212,synthetic-2026-04-01
Forge Materials Partners 004,BP-001296,RC1212,synthetic-2026-04-01
Juniper Facilities Partners 014,BP-001821,RC1212,synthetic-2026-04-01
Beacon Energy Partners 013,BP-001548,RC1212,synthetic-2026-04-01
Keystone Network Partners 009,BP-001355,RC1212,synthetic-2026-04-01
Harbor Energy Partners 001,BP-001781,RC1212,synthetic-2026-04-01
Atlas Materials Partners 009,BP-001350,RC1212,synthetic-2026-04-01
Beacon Network Partners 005,BP-001657,RC1212,synthetic-2026-04-01
Keystone Logistics Partners 007,BP-000168,RC1212,synthetic-2026-04-01
Atlas Facilities Partners 001,BP-002030,RC1212,synthetic-2026-04-01
Lumen Energy Partners 016,BP-001648,RC1212,synthetic-2026-04-01
Keystone Logistics Partners 003,BP-001275,RC1212,synthetic-2026-04-01
Element Network Partners 013,BP-002035,RC1212,synthetic-2026-04-01
Element Industrial Partners 010,BP-001198,RC1212,synthetic-2026-04-01
Granite Advisory Partners 005,BP-001550,RC1212,synthetic-2026-04-01
Lumen Systems Partners 014,BP-001409,RC1212,synthetic-2026-04-01
Keystone Energy Partners 007,BP-000131,RC1212,synthetic-2026-04-01
Lumen Digital Partners 003,BP-001349,RC1212,synthetic-2026-04-01
Ion Systems Partners 015,BP-001218,RC1212,synthetic-2026-04-01
Crest Network Partners 013,BP-001510,RC1212,synthetic-2026-04-01
Ion Logistics Partners 001,BP-001408,RC1204,synthetic-2026-04-01
Lumen Digital Partners 012,BP-002019,RC1204,synthetic-2026-04-01
Delta Energy Partners 010,BP-000513,RC1403,synthetic-2026-04-01
Atlas Logistics Partners 001,BP-001249,RC1212,synthetic-2026-04-01
Atlas Advisory Partners 015,BP-001420,RC1403,synthetic-2026-04-01
Juniper Facilities Partners 017,BP-002093,RC1403,synthetic-2026-04-01
Granite Systems Partners 001,BP-000100,RC1212,synthetic-2026-04-01
Keystone Digital Partners 001,BP-000477,RC1212,synthetic-2026-04-01
Delta Systems Partners 006,BP-001241,RC1212,synthetic-2026-04-01
Harbor Advisory Partners 015,BP-000450,RC1212,synthetic-2026-04-01
Lumen Logistics Partners 001,BP-000646,RC1403,synthetic-2026-04-01
Atlas Energy Partners 001,BP-001015,RC1212,synthetic-2026-04-01
Harbor Digital Partners 012,BP-001569,RC1204,synthetic-2026-04-01
Juniper Industrial Partners 006,BP-001651,RC1403,synthetic-2026-04-01
Atlas Materials Partners 009,BP-001350,RC1204,synthetic-2026-04-01
Atlas Network Partners 017,BP-002000,RC1204,synthetic-2026-04-01
Atlas Advisory Partners 015,BP-001420,RC1204,synthetic-2026-04-01
Lumen Systems Partners 011,BP-000001,RC1204,synthetic-2026-04-01
Juniper Facilities Partners 007,BP-000451,RC1212,synthetic-2026-04-01
Element Facilities Partners 016,BP-001888,RC1212,synthetic-2026-04-01
Granite Energy Partners 016,BP-000584,RC1212,synthetic-2026-04-01
Crest Systems Partners 015,BP-001645,RC1204,synthetic-2026-04-01
Forge Advisory Partners 015,BP-001898,RC1212,synthetic-2026-04-01
Granite Network Partners 016,BP-002012,RC1204,synthetic-2026-04-01
Crest Industrial Partners 008,BP-000855,RC1204,synthetic-2026-04-01
Ion Logistics Partners 013,BP-002058,RC1204,synthetic-2026-04-01
